game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON,losing_Team
3967,2000-04-05T02:05:00Z,2000-04-04,R,Final,Philadelphia Phillies,Arizona Diamondbacks,143,109,N,1,,,,,4,6,9,Top,15,Bank One Ballpark,[],AZ leads 1-0,Arizona Diamondbacks,Philadelphia Phillies,Randy Johnson,Andy Ashby,Darren Holmes,2000-04-04 - Philadelphia Phillies (4) @ Arizona Diamondbacks (6) (Final),2000,
4973,2000-04-06T01:35:00Z,2000-04-05,R,Final,Philadelphia Phillies,Arizona Diamondbacks,143,109,N,1,,,,,3,11,9,Top,15,Bank One Ballpark,[],AZ wins 2-0,Arizona Diamondbacks,Philadelphia Phillies,Todd Stottlemyre,Paul Byrd,Mike Morgan,2000-04-05 - Philadelphia Phillies (3) @ Arizona Diamondbacks (11) (Final),2000,
3880,2000-04-07T01:35:00Z,2000-04-06,R,Final,Philadelphia Phillies,Arizona Diamondbacks,143,109,N,1,,,,,2,3,11,Bottom,15,Bank One Ballpark,[],AZ wins 3-0,Arizona Diamondbacks,Philadelphia Phillies,Russ Springer,Steve Schrenk,,2000-04-06 - Philadelphia Phillies (2) @ Arizona Diamondbacks (3) (Final),2000,
3935,2000-04-08T02:05:00Z,2000-04-07,R,Final,Pittsburgh Pirates,Arizona Diamondbacks,134,109,N,1,,,,,7,2,9,Bottom,15,Bank One Ballpark,[],PIT leads 1-0,Pittsburgh Pirates,Arizona Diamondbacks,Jason Christiansen,Armando Reynoso,,2000-04-07 - Pittsburgh Pirates (7) @ Arizona Diamondbacks (2) (Final),2000,
3969,2000-04-08T20:35:00Z,2000-04-08,R,Final,Pittsburgh Pirates,Arizona Diamondbacks,134,109,N,1,,,,,5,6,9,Bottom,15,Bank One Ballpark,[],Series tied 1-1,Arizona Diamondbacks,Pittsburgh Pirates,Greg Swindell,Jason Christiansen,,2000-04-08 - Pittsburgh Pirates (5) @ Arizona Diamondbacks (6) (Final),2000,
5079,2000-04-09T20:35:00Z,2000-04-09,R,Final,Pittsburgh Pirates,Arizona Diamondbacks,134,109,N,1,,,,,0,1,9,Top,15,Bank One Ballpark,[],AZ wins 2-1,Arizona Diamondbacks,Pittsburgh Pirates,Randy Johnson,Jason Schmidt,,2000-04-09 - Pittsburgh Pirates (0) @ Arizona Diamondbacks (1) (Final),2000,
5083,2000-04-10T22:05:00Z,2000-04-10,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,,,,,8,4,9,Bottom,28,Qualcomm Stadium,[],AZ leads 1-0,Arizona Diamondbacks,San Diego Padres,Todd Stottlemyre,Woody Williams,Mike Morgan,2000-04-10 - Arizona Diamondbacks (8) @ San Diego Padres (4) (Final),2000,
4001,2000-04-12T02:05:00Z,2000-04-11,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,,,,,2,3,13,Bottom,28,Qualcomm Stadium,[],Series tied 1-1,San Diego Padres,Arizona Diamondbacks,Matt Whisenant,Russ Springer,,2000-04-11 - Arizona Diamondbacks (2) @ San Diego Padres (3) (Final),2000,
5031,2000-04-13T02:05:00Z,2000-04-12,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,,,,,2,4,9,Top,28,Qualcomm Stadium,[],SD leads 2-1,San Diego Padres,Arizona Diamondbacks,Brian Meadows,Armando Reynoso,Trevor Hoffman,2000-04-12 - Arizona Diamondbacks (2) @ San Diego Padres (4) (Final),2000,
5101,2000-04-13T22:05:00Z,2000-04-13,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,,,,,5,4,9,Bottom,28,Qualcomm Stadium,[],Series tied 2-2,Arizona Diamondbacks,San Diego Padres,Brian Anderson,Sterling Hitchcock,Mike Morgan,2000-04-13 - Arizona Diamondbacks (5) @ San Diego Padres (4) (Final),2000,
4116,2000-04-15T02:35:00Z,2000-04-14,R,Final,Arizona Diamondbacks,San Francisco Giants,109,137,N,1,,,,,3,1,9,Bottom,2395,PacBell Park,[],AZ leads 1-0,Arizona Diamondbacks,San Francisco Giants,Randy Johnson,Livan Hernandez,,2000-04-14 - Arizona Diamondbacks (3) @ San Francisco Giants (1) (Final),2000,
4121,2000-04-15T20:05:00Z,2000-04-15,R,Final,Arizona Diamondbacks,San Francisco Giants,109,137,N,1,,,,,7,4,9,Bottom,2395,PacBell Park,[],AZ wins 2-0,Arizona Diamondbacks,San Francisco Giants,Todd Stottlemyre,Russ Ortiz,Greg Swindell,2000-04-15 - Arizona Diamondbacks (7) @ San Francisco Giants (4) (Final),2000,
3956,2000-04-17T00:05:00Z,2000-04-16,R,Final,Arizona Diamondbacks,San Francisco Giants,109,137,N,1,,,,,0,0,,,2395,PacBell Park,[],AZ wins 2-0,San Francisco Giants,Arizona Diamondbacks,,,,2000-04-16 - Arizona Diamondbacks () @ San Francisco Giants () (Final),2000,
3958,2000-04-18T01:35:00Z,2000-04-17,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,9,1,9,Bottom,15,Bank One Ballpark,[],COL leads 1-0,Colorado Rockies,Arizona Diamondbacks,Masato Yoshii,Omar Daal,,2000-04-17 - Colorado Rockies (9) @ Arizona Diamondbacks (1) (Final),2000,
4016,2000-04-19T01:35:00Z,2000-04-18,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,1,7,9,Top,15,Bank One Ballpark,[],Series tied 1-1,Arizona Diamondbacks,Colorado Rockies,Armando Reynoso,Scott Karl,,2000-04-18 - Colorado Rockies (1) @ Arizona Diamondbacks (7) (Final),2000,
4020,2000-04-20T01:35:00Z,2000-04-19,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,7,8,9,Top,15,Bank One Ballpark,[],AZ leads 2-1,Arizona Diamondbacks,Colorado Rockies,Mike Morgan,Julian Tavarez,Byung-Hyun Kim,2000-04-19 - Colorado Rockies (7) @ Arizona Diamondbacks (8) (Final),2000,
5043,2000-04-21T01:35:00Z,2000-04-20,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,0,3,9,Top,15,Bank One Ballpark,[],AZ wins 3-1,Arizona Diamondbacks,Colorado Rockies,Randy Johnson,Rolando Arrojo,,2000-04-20 - Colorado Rockies (0) @ Arizona Diamondbacks (3) (Final),2000,
4161,2000-04-22T02:05:00Z,2000-04-21,R,Final,San Francisco Giants,Arizona Diamondbacks,137,109,N,1,,,,,11,5,9,Bottom,15,Bank One Ballpark,[],SF leads 1-0,San Francisco Giants,Arizona Diamondbacks,Russ Ortiz,Todd Stottlemyre,,2000-04-21 - San Francisco Giants (11) @ Arizona Diamondbacks (5) (Final),2000,
5116,2000-04-22T20:35:00Z,2000-04-22,R,Final,San Francisco Giants,Arizona Diamondbacks,137,109,N,1,,,,,8,6,9,Bottom,15,Bank One Ballpark,[],SF wins 2-0,San Francisco Giants,Arizona Diamondbacks,Kirk Rueter,Omar Daal,Robb Nen,2000-04-22 - San Francisco Giants (8) @ Arizona Diamondbacks (6) (Final),2000,
4024,2000-04-23T20:35:00Z,2000-04-23,R,Final,San Francisco Giants,Arizona Diamondbacks,137,109,N,1,,,,,12,7,9,Bottom,15,Bank One Ballpark,[],SF wins 3-0,San Francisco Giants,Arizona Diamondbacks,Joe Nathan,Armando Reynoso,,2000-04-23 - San Francisco Giants (12) @ Arizona Diamondbacks (7) (Final),2000,
5052,2000-04-25T23:05:00Z,2000-04-25,R,Final,Arizona Diamondbacks,Philadelphia Phillies,109,143,N,1,,,,,10,2,9,Bottom,26,Veterans Stadium,[],AZ leads 1-0,Arizona Diamondbacks,Philadelphia Phillies,Randy Johnson,Chris Brock,,2000-04-25 - Arizona Diamondbacks (10) @ Philadelphia Phillies (2) (Final),2000,
5123,2000-04-26T23:05:00Z,2000-04-26,R,Final,Arizona Diamondbacks,Philadelphia Phillies,109,143,N,1,,,,,10,4,9,Bottom,26,Veterans Stadium,[],AZ wins 2-0,Arizona Diamondbacks,Philadelphia Phillies,Todd Stottlemyre,Andy Ashby,,2000-04-26 - Arizona Diamondbacks (10) @ Philadelphia Phillies (4) (Final),2000,
4092,2000-04-27T19:05:00Z,2000-04-27,R,Final,Arizona Diamondbacks,Philadelphia Phillies,109,143,N,1,,,,,4,5,9,Bottom,26,Veterans Stadium,[],AZ wins 2-1,Philadelphia Phillies,Arizona Diamondbacks,Wayne Gomes,Byung-Hyun Kim,,2000-04-27 - Arizona Diamondbacks (4) @ Philadelphia Phillies (5) (Final),2000,
4180,2000-04-28T19:20:00Z,2000-04-28,R,Final,Arizona Diamondbacks,Chicago Cubs,109,112,N,1,,,,,5,6,9,Top,17,Wrigley Field,[],CHC leads 1-0,Chicago Cubs,Arizona Diamondbacks,Kevin Tapani,Russ Springer,Rick Aguilera,2000-04-28 - Arizona Diamondbacks (5) @ Chicago Cubs (6) (Final),2000,
4029,2000-04-29T18:20:00Z,2000-04-29,R,Final,Arizona Diamondbacks,Chicago Cubs,109,112,N,1,,,,,7,4,10,Bottom,17,Wrigley Field,[],Series tied 1-1,Arizona Diamondbacks,Chicago Cubs,Matt Mantei,Mark Guthrie,Mike Morgan,2000-04-29 - Arizona Diamondbacks (7) @ Chicago Cubs (4) (Final),2000,
4034,2000-04-30T18:20:00Z,2000-04-30,R,Final,Arizona Diamondbacks,Chicago Cubs,109,112,N,1,,,,,6,0,9,Bottom,17,Wrigley Field,[],AZ wins 2-1,Arizona Diamondbacks,Chicago Cubs,Randy Johnson,Andrew Lorraine,,2000-04-30 - Arizona Diamondbacks (6) @ Chicago Cubs (0) (Final),2000,
4100,2000-05-03T00:05:00Z,2000-05-02,R,Final,Arizona Diamondbacks,Milwaukee Brewers,109,158,N,1,,,,,5,1,9,Bottom,23,Milwaukee County Stadium,[],AZ leads 1-0,Arizona Diamondbacks,Milwaukee Brewers,Todd Stottlemyre,Jimmy Haynes,,2000-05-02 - Arizona Diamondbacks (5) @ Milwaukee Brewers (1) (Final),2000,
4189,2000-05-04T00:05:00Z,2000-05-03,R,Final,Arizona Diamondbacks,Milwaukee Brewers,109,158,N,1,,,,,1,4,9,Top,23,Milwaukee County Stadium,[],Series tied 1-1,Milwaukee Brewers,Arizona Diamondbacks,Horacio Estrada,Omar Daal,Bob Wickman,2000-05-03 - Arizona Diamondbacks (1) @ Milwaukee Brewers (4) (Final),2000,
3992,2000-05-05T00:05:00Z,2000-05-04,R,Final,Arizona Diamondbacks,Milwaukee Brewers,109,158,N,1,,,,,6,2,9,Bottom,23,Milwaukee County Stadium,[],AZ wins 2-1,Arizona Diamondbacks,Milwaukee Brewers,Armando Reynoso,Everett Stull,Byung-Hyun Kim,2000-05-04 - Arizona Diamondbacks (6) @ Milwaukee Brewers (2) (Final),2000,
4039,2000-05-06T02:05:00Z,2000-05-05,R,Final,San Diego Padres,Arizona Diamondbacks,135,109,N,1,,,,,3,5,9,Top,15,Bank One Ballpark,[],AZ leads 1-0,Arizona Diamondbacks,San Diego Padres,Randy Johnson,Sterling Hitchcock,,2000-05-05 - San Diego Padres (3) @ Arizona Diamondbacks (5) (Final),2000,
4101,2000-05-06T20:35:00Z,2000-05-06,R,Final,San Diego Padres,Arizona Diamondbacks,135,109,N,1,,,,,5,10,9,Top,15,Bank One Ballpark,[],AZ wins 2-0,Arizona Diamondbacks,San Diego Padres,Brian Anderson,Rodrigo Lopez,,2000-05-06 - San Diego Padres (5) @ Arizona Diamondbacks (10) (Final),2000,
4107,2000-05-07T20:35:00Z,2000-05-07,R,Final,San Diego Padres,Arizona Diamondbacks,135,109,N,1,,,,,1,8,9,Top,15,Bank One Ballpark,[],AZ wins 3-0,Arizona Diamondbacks,San Diego Padres,Todd Stottlemyre,Matt Clement,,2000-05-07 - San Diego Padres (1) @ Arizona Diamondbacks (8) (Final),2000,
4195,2000-05-09T01:35:00Z,2000-05-08,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,119,109,N,1,,,,,7,15,9,Top,15,Bank One Ballpark,[],AZ leads 1-0,Arizona Diamondbacks,Los Angeles Dodgers,Omar Daal,Chan Ho Park,,2000-05-08 - Los Angeles Dodgers (7) @ Arizona Diamondbacks (15) (Final),2000,
3997,2000-05-10T01:35:00Z,2000-05-09,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,119,109,N,1,,,,,7,11,12,Bottom,15,Bank One Ballpark,[],AZ wins 2-0,Arizona Diamondbacks,Los Angeles Dodgers,Vicente Padilla,Orel Hershiser,,2000-05-09 - Los Angeles Dodgers (7) @ Arizona Diamondbacks (11) (Final),2000,
4044,2000-05-11T02:05:00Z,2000-05-10,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,119,109,N,1,,,,,1,2,9,Bottom,15,Bank One Ballpark,[],AZ wins 3-0,Arizona Diamondbacks,Los Angeles Dodgers,Byung-Hyun Kim,Terry Adams,,2000-05-10 - Los Angeles Dodgers (1) @ Arizona Diamondbacks (2) (Final),2000,
4114,2000-05-13T02:05:00Z,2000-05-12,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,,,,,6,4,9,Bottom,28,Qualcomm Stadium,[],AZ leads 1-0,Arizona Diamondbacks,San Diego Padres,Brian Anderson,Matt Clement,Byung-Hyun Kim,2000-05-12 - Arizona Diamondbacks (6) @ San Diego Padres (4) (Final),2000,
4203,2000-05-14T02:05:00Z,2000-05-13,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,,,,,6,2,9,Bottom,28,Qualcomm Stadium,[],AZ wins 2-0,Arizona Diamondbacks,San Diego Padres,Todd Stottlemyre,Stan Spencer,Mike Morgan,2000-05-13 - Arizona Diamondbacks (6) @ San Diego Padres (2) (Final),2000,
4011,2000-05-14T20:05:00Z,2000-05-14,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,,,,,1,3,9,Top,28,Qualcomm Stadium,[],AZ wins 2-1,San Diego Padres,Arizona Diamondbacks,Brian Meadows,Omar Daal,Trevor Hoffman,2000-05-14 - Arizona Diamondbacks (1) @ San Diego Padres (3) (Final),2000,
4013,2000-05-16T23:05:00Z,2000-05-16,R,Final,Arizona Diamondbacks,Montreal Expos,109,120,N,1,,,,,0,2,9,Top,24,Olympic Stadium,[],MON leads 1-0,Montreal Expos,Arizona Diamondbacks,Javier Vazquez,Randy Johnson,Dustin Hermanson,2000-05-16 - Arizona Diamondbacks (0) @ Montreal Expos (2) (Final),2000,
5157,2000-05-17T23:05:00Z,2000-05-17,R,Final,Arizona Diamondbacks,Montreal Expos,109,120,N,1,,,,,2,10,9,Top,24,Olympic Stadium,[],MON wins 2-0,Montreal Expos,Arizona Diamondbacks,Carl Pavano,Armando Reynoso,,2000-05-17 - Arizona Diamondbacks (2) @ Montreal Expos (10) (Final),2000,
4125,2000-05-18T23:05:00Z,2000-05-18,R,Final,Arizona Diamondbacks,Montreal Expos,109,120,N,1,,,,,8,6,9,Bottom,24,Olympic Stadium,[],MON wins 2-1,Arizona Diamondbacks,Montreal Expos,Byung-Hyun Kim,Anthony Telford,,2000-05-18 - Arizona Diamondbacks (8) @ Montreal Expos (6) (Final),2000,
4216,2000-05-19T23:10:00Z,2000-05-19,R,Final,Arizona Diamondbacks,New York Mets,109,121,N,1,,,,,3,4,9,Top,25,Shea Stadium,[],NYM leads 1-0,New York Mets,Arizona Diamondbacks,Bobby Jones,Todd Stottlemyre,Armando Benitez,2000-05-19 - Arizona Diamondbacks (3) @ New York Mets (4) (Final),2000,
5186,2000-05-20T17:10:00Z,2000-05-20,R,Final,Arizona Diamondbacks,New York Mets,109,121,N,1,,,,,7,8,9,Top,25,Shea Stadium,[],NYM wins 2-0,New York Mets,Arizona Diamondbacks,Mike Hampton,Omar Daal,Armando Benitez,2000-05-20 - Arizona Diamondbacks (7) @ New York Mets (8) (Final),2000,
5240,2000-05-21T17:10:00Z,2000-05-21,R,Final,Arizona Diamondbacks,New York Mets,109,121,N,1,,,,,6,7,9,Bottom,25,Shea Stadium,[],NYM wins 3-0,New York Mets,Arizona Diamondbacks,Turk Wendell,Byung-Hyun Kim,,2000-05-21 - Arizona Diamondbacks (6) @ New York Mets (7) (Final),2000,
5305,2000-05-24T02:05:00Z,2000-05-23,R,Final,Pittsburgh Pirates,Arizona Diamondbacks,134,109,N,1,,,,,1,6,9,Top,15,Bank One Ballpark,[],AZ leads 1-0,Arizona Diamondbacks,Pittsburgh Pirates,Brian Anderson,Jimmy Anderson,,2000-05-23 - Pittsburgh Pirates (1) @ Arizona Diamondbacks (6) (Final),2000,
4155,2000-05-25T02:05:00Z,2000-05-24,R,Final,Pittsburgh Pirates,Arizona Diamondbacks,134,109,N,1,,,,,5,6,9,Top,15,Bank One Ballpark,[],AZ wins 2-0,Arizona Diamondbacks,Pittsburgh Pirates,Todd Stottlemyre,Jason Schmidt,Byung-Hyun Kim,2000-05-24 - Pittsburgh Pirates (5) @ Arizona Diamondbacks (6) (Final),2000,
4225,2000-05-26T02:05:00Z,2000-05-25,R,Final,Pittsburgh Pirates,Arizona Diamondbacks,134,109,N,1,,,,,5,7,9,Top,15,Bank One Ballpark,[],AZ wins 3-0,Arizona Diamondbacks,Pittsburgh Pirates,Omar Daal,Kris Benson,Matt Mantei,2000-05-25 - Pittsburgh Pirates (5) @ Arizona Diamondbacks (7) (Final),2000,
5264,2000-05-27T02:05:00Z,2000-05-26,R,Final,Milwaukee Brewers,Arizona Diamondbacks,158,109,N,1,,,,,2,9,9,Top,15,Bank One Ballpark,[],AZ leads 1-0,Arizona Diamondbacks,Milwaukee Brewers,Randy Johnson,John Snyder,,2000-05-26 - Milwaukee Brewers (2) @ Arizona Diamondbacks (9) (Final),2000,
4141,2000-05-27T20:35:00Z,2000-05-27,R,Final,Milwaukee Brewers,Arizona Diamondbacks,158,109,N,1,,,,,3,7,9,Top,15,Bank One Ballpark,[],AZ wins 2-0,Arizona Diamondbacks,Milwaukee Brewers,Armando Reynoso,Juan Acevedo,Byung-Hyun Kim,2000-05-27 - Milwaukee Brewers (3) @ Arizona Diamondbacks (7) (Final),2000,
4168,2000-05-28T20:35:00Z,2000-05-28,R,Final,Milwaukee Brewers,Arizona Diamondbacks,158,109,N,1,,,,,4,3,11,Bottom,15,Bank One Ballpark,[],AZ wins 2-1,Milwaukee Brewers,Arizona Diamondbacks,Bob Wickman,Greg Swindell,,2000-05-28 - Milwaukee Brewers (4) @ Arizona Diamondbacks (3) (Final),2000,
4169,2000-05-29T20:05:00Z,2000-05-29,R,Final,St. Louis Cardinals,Arizona Diamondbacks,138,109,N,1,,,,,3,0,9,Bottom,15,Bank One Ballpark,[],STL leads 1-0,St. Louis Cardinals,Arizona Diamondbacks,Garrett Stephenson,Todd Stottlemyre,,2000-05-29 - St. Louis Cardinals (3) @ Arizona Diamondbacks (0) (Final),2000,
5270,2000-05-31T02:05:00Z,2000-05-30,R,Final,St. Louis Cardinals,Arizona Diamondbacks,138,109,N,1,,,,,6,1,9,Bottom,15,Bank One Ballpark,[],STL leads 2-0,St. Louis Cardinals,Arizona Diamondbacks,Rick Ankiel,Omar Daal,Matt Morris,2000-05-30 - St. Louis Cardinals (6) @ Arizona Diamondbacks (1) (Final),2000,
4355,2000-06-01T02:05:00Z,2000-05-31,R,Final,St. Louis Cardinals,Arizona Diamondbacks,138,109,N,1,,,,,2,6,9,Top,15,Bank One Ballpark,[],STL leads 2-1,Arizona Diamondbacks,St. Louis Cardinals,Randy Johnson,Pat Hentgen,Byung-Hyun Kim,2000-05-31 - St. Louis Cardinals (2) @ Arizona Diamondbacks (6) (Final),2000,
4145,2000-06-02T02:05:00Z,2000-06-01,R,Final,St. Louis Cardinals,Arizona Diamondbacks,138,109,N,1,,,,,0,4,9,Top,15,Bank One Ballpark,[],Series tied 2-2,Arizona Diamondbacks,St. Louis Cardinals,Armando Reynoso,Andy Benes,,2000-06-01 - St. Louis Cardinals (0) @ Arizona Diamondbacks (4) (Final),2000,
4624,2000-06-03T00:35:00Z,2000-06-02,R,Final,Arizona Diamondbacks,Texas Rangers,109,140,N,1,,,,,5,4,9,Bottom,13,The Ballpark at Arlington,[],AZ leads 1-0,Arizona Diamondbacks,Texas Rangers,Brian Anderson,Rick Helling,Matt Mantei,2000-06-02 - Arizona Diamondbacks (5) @ Texas Rangers (4) (Final),2000,
4720,2000-06-04T00:35:00Z,2000-06-03,R,Final,Arizona Diamondbacks,Texas Rangers,109,140,N,1,,,,,3,4,9,Top,13,The Ballpark at Arlington,[],Series tied 1-1,Texas Rangers,Arizona Diamondbacks,Kenny Rogers,Nelson Figueroa,John Wetteland,2000-06-03 - Arizona Diamondbacks (3) @ Texas Rangers (4) (Final),2000,
4854,2000-06-05T00:05:00Z,2000-06-04,R,Final,Arizona Diamondbacks,Texas Rangers,109,140,N,1,,,,,6,7,9,Top,13,The Ballpark at Arlington,[],TEX wins 2-1,Texas Rangers,Arizona Diamondbacks,Matt Perisho,Byung-Hyun Kim,John Wetteland,2000-06-04 - Arizona Diamondbacks (6) @ Texas Rangers (7) (Final),2000,
5277,2000-06-06T00:05:00Z,2000-06-05,R,Final,Arizona Diamondbacks,Chicago Cubs,109,112,N,1,,,,,3,4,10,Bottom,17,Wrigley Field,[],CHC leads 1-0,Chicago Cubs,Arizona Diamondbacks,Felix Heredia,Matt Mantei,,2000-06-05 - Arizona Diamondbacks (3) @ Chicago Cubs (4) (Final),2000,
4149,2000-06-07T00:05:00Z,2000-06-06,R,Final,Arizona Diamondbacks,Chicago Cubs,109,112,N,1,,,,,1,4,9,Top,17,Wrigley Field,[],CHC wins 2-0,Chicago Cubs,Arizona Diamondbacks,Kevin Tapani,Armando Reynoso,,2000-06-06 - Arizona Diamondbacks (1) @ Chicago Cubs (4) (Final),2000,
5390,2000-06-07T18:20:00Z,2000-06-07,R,Final,Arizona Diamondbacks,Chicago Cubs,109,112,N,1,,,,,4,9,9,Top,17,Wrigley Field,[],CHC wins 3-0,Chicago Cubs,Arizona Diamondbacks,Scott Downs,Brian Anderson,Todd Van Poppel,2000-06-07 - Arizona Diamondbacks (4) @ Chicago Cubs (9) (Final),2000,
4718,2000-06-10T02:05:00Z,2000-06-09,R,Final,Anaheim Angels,Arizona Diamondbacks,108,109,N,1,,,,,1,4,9,Top,15,Bank One Ballpark,[],AZ leads 1-0,Arizona Diamondbacks,Anaheim Angels,Randy Johnson,Brian Cooper,Byung-Hyun Kim,2000-06-09 - Anaheim Angels (1) @ Arizona Diamondbacks (4) (Final),2000,
4783,2000-06-10T20:05:00Z,2000-06-10,R,Final,Anaheim Angels,Arizona Diamondbacks,108,109,N,1,,,,,10,3,9,Bottom,15,Bank One Ballpark,[],Series tied 1-1,Anaheim Angels,Arizona Diamondbacks,Jarrod Washburn,Omar Daal,,2000-06-10 - Anaheim Angels (10) @ Arizona Diamondbacks (3) (Final),2000,
4734,2000-06-11T20:35:00Z,2000-06-11,R,Final,Anaheim Angels,Arizona Diamondbacks,108,109,N,1,,,,,2,3,9,Top,15,Bank One Ballpark,[],AZ wins 2-1,Arizona Diamondbacks,Anaheim Angels,Dan Plesac,Scott Schoeneweis,Byung-Hyun Kim,2000-06-11 - Anaheim Angels (2) @ Arizona Diamondbacks (3) (Final),2000,
4175,2000-06-13T02:10:00Z,2000-06-12,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,109,119,N,1,,,,,4,2,9,Bottom,22,Dodger Stadium,[],AZ leads 1-0,Arizona Diamondbacks,Los Angeles Dodgers,Brian Anderson,Darren Dreifort,Byung-Hyun Kim,2000-06-12 - Arizona Diamondbacks (4) @ Los Angeles Dodgers (2) (Final),2000,
5409,2000-06-14T02:10:00Z,2000-06-13,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,109,119,N,1,,,,,1,6,9,Top,22,Dodger Stadium,[],Series tied 1-1,Los Angeles Dodgers,Arizona Diamondbacks,Chan Ho Park,Mike Morgan,,2000-06-13 - Arizona Diamondbacks (1) @ Los Angeles Dodgers (6) (Final),2000,
5283,2000-06-15T02:05:00Z,2000-06-14,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,109,119,N,1,,,,,5,1,9,Bottom,22,Dodger Stadium,[],AZ leads 2-1,Arizona Diamondbacks,Los Angeles Dodgers,Randy Johnson,Carlos Perez,,2000-06-14 - Arizona Diamondbacks (5) @ Los Angeles Dodgers (1) (Final),2000,
4245,2000-06-16T02:10:00Z,2000-06-15,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,109,119,N,1,,,,,0,4,9,Top,22,Dodger Stadium,[],Series tied 2-2,Los Angeles Dodgers,Arizona Diamondbacks,Kevin Brown,Todd Stottlemyre,,2000-06-15 - Arizona Diamondbacks (0) @ Los Angeles Dodgers (4) (Final),2000,
4362,2000-06-17T01:05:00Z,2000-06-16,R,Final,Arizona Diamondbacks,Colorado Rockies,109,115,N,1,,,,,0,0,,,19,Coors Field,[],,Colorado Rockies,Arizona Diamondbacks,,,,2000-06-16 - Arizona Diamondbacks () @ Colorado Rockies () (Final),2000,
4288,2000-06-18T00:05:00Z,2000-06-17,R,Final,Arizona Diamondbacks,Colorado Rockies,109,115,N,1,,,,,5,14,9,Top,19,Coors Field,[],COL leads 1-0,Colorado Rockies,Arizona Diamondbacks,Brian Bohanon,Brian Anderson,,2000-06-17 - Arizona Diamondbacks (5) @ Colorado Rockies (14) (Final),2000,
5489,2000-06-18T19:05:00Z,2000-06-18,R,Final,Arizona Diamondbacks,Colorado Rockies,109,115,N,1,,,,,2,19,9,Top,19,Coors Field,[],COL wins 2-0,Colorado Rockies,Arizona Diamondbacks,Masato Yoshii,Armando Reynoso,,2000-06-18 - Arizona Diamondbacks (2) @ Colorado Rockies (19) (Final),2000,
4349,2000-06-20T02:05:00Z,2000-06-19,R,Final,San Diego Padres,Arizona Diamondbacks,135,109,N,1,,,,,2,3,9,Bottom,15,Bank One Ballpark,[],AZ leads 1-0,Arizona Diamondbacks,San Diego Padres,Vicente Padilla,Brandon Kolb,,2000-06-19 - San Diego Padres (2) @ Arizona Diamondbacks (3) (Final),2000,
5343,2000-06-21T02:05:00Z,2000-06-20,R,Final,San Diego Padres,Arizona Diamondbacks,135,109,N,1,,,,,3,1,9,Bottom,15,Bank One Ballpark,[],Series tied 1-1,San Diego Padres,Arizona Diamondbacks,Brian Tollberg,Todd Stottlemyre,Trevor Hoffman,2000-06-20 - San Diego Padres (3) @ Arizona Diamondbacks (1) (Final),2000,
5415,2000-06-22T02:05:00Z,2000-06-21,R,Final,San Diego Padres,Arizona Diamondbacks,135,109,N,1,,,,,8,11,9,Top,15,Bank One Ballpark,[],AZ wins 2-1,Arizona Diamondbacks,San Diego Padres,Mike Morgan,Carlos Reyes,,2000-06-21 - San Diego Padres (8) @ Arizona Diamondbacks (11) (Final),2000,
4296,2000-06-24T02:05:00Z,2000-06-23,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,0,2,9,Top,15,Bank One Ballpark,[],AZ leads 1-0,Arizona Diamondbacks,Colorado Rockies,Brian Anderson,Brian Bohanon,Byung-Hyun Kim,2000-06-23 - Colorado Rockies (0) @ Arizona Diamondbacks (2) (Final),2000,
4370,2000-06-25T02:05:00Z,2000-06-24,R,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,,,,,4,0,9,Bottom,15,Bank One Ballpark,[],Series tied 1-1,Colorado Rockies,Arizona Diamondbacks,Masato Yoshii,Randy Johnson,,2000-06-24 - Colorado Rockies (4) @ Arizona Diamondbacks (0) (Final),2000,
